Enclosure,Female,Male,Type,PPPT,Seconds,RFID,Trapping,Trial
LD,C01EB93,C01EB42,Partner,3177488,3177.488,0.027431421,0.05555556,14
LD,C01EB8D,C01EB7D,Partner,3095370,3095.37,0.022988506,0,11
HD,C01EB86,C01EB6D,Partner,3208429,3208.429,0.048387097,0.1363636,6
LD,C01EB7B,C01EB39,Partner,1946073,1946.073,0.011173184,0,7
HD,C01EB62,C01EB7C,Partner,2909726,2909.726,0.069164265,0.23333333,4
LD,C01EB48,C01EB7D,Partner,3238211,3238.211,0.04137931,0.04651163,8
HD,C01EB46,C01EB51,Partner,2110485,2110.485,0.053846154,0.22222222,9
LD,C01EB45,C01EB78,Partner,3062647,3062.647,0.003952569,0,5
LD,C01EB44,C01EB42,Partner,3005702,3005.702,0,0.04651163,2
LD,C01EB3E,C01EB5E,Partner,3259412,3259.412,0.049586777,0.03225806,10
LD,C01EB93,C01EB7D,Stranger,187253,187.253,0.002132196,0,14
LD,C01EB8D,C01EB81,Stranger,464402,464.402,0.014925373,0.02380952,11
HD,C01EB86,C01EB68,Stranger,279586,279.586,0.009803922,0,6
LD,C01EB7B,C01EB53,Stranger,543373,543.373,0,0.02631579,7
HD,C01EB62,C01EB5A,Stranger,376150,376.15,0,0,4
LD,C01EB48,C01EB42,Stranger,228212,228.212,0,0,8
HD,C01EB46,C01EB74,Stranger,1396872,1396.872,0.021126761,0.02040816,9
LD,C01EB45,C01EB39,Stranger,217065,217.065,0,0,5
LD,C01EB44,C01EB7D,Stranger,253728,253.728,0,0,2
LD,C01EB3E,C01EB53,Stranger,225466,225.466,0,0.02941176,10
